cod_upp,upp,ano,mes,hom_doloso,lesao_corp_morte,latrocinio,hom_por_interv_policial,tentat_hom,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,roubo_comercio,roubo_residencia,roubo_veiculo,roubo_carga,roubo_transeunte,roubo_em_coletivo,roubo_banco,roubo_cx_eletronico,roubo_celular,roubo_conducao_saque,total_roubos,furto_veiculos,total_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas,recuperacao_veiculos,armas_apreendidas,cump_mandado_prisao,ocorr_flagrante,ameaca,pessoas_desaparecidas,encontro_cadaver,encontro_ossada,pol_militares_mortos_serv,pol_civis_mortos_serv,registro_ocorrencias,data
1,Santa Marta,2007,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,11,2007-01-01
22,Adeus / Baiana,2007,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,4,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,18,2007-01-01
23,Alemão,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2007-01-01
24,Chatuba,2007,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,12,2007-01-01
25,Fé / Sereno,2007,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2007-01-01
26,Parque Proletário,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2007-01-01
27,Vila Cruzeiro,2007,1,1,0,0,3,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,8,0,3,0,3,1,3,0,0,0,0,21,2007-01-01
29,Jacarezinho,2007,1,0,0,0,0,1,2,0,0,0,2,0,1,3,5,1,0,0,0,0,17,1,5,0,0,0,4,3,4,13,0,1,7,1,0,0,0,0,51,2007-01-01
21,Fazendinha,2007,1,2,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,3,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,16,2007-01-01
30,Manguinhos,2007,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,1,0,0,0,0,3,2,2,0,2,6,0,0,0,0,0,19,2007-01-01
32,Caju,2007,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,2,5,0,2,3,1,0,0,0,0,15,2007-01-01
33,Cerro-Corá,2007,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,2007-01-01
34,Arará / Mandela,2007,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,11,2007-01-01
35,Lins,2007,1,0,0,0,1,0,0,0,0,2,0,0,1,3,2,0,0,0,0,0,7,0,6,0,0,0,3,0,3,1,0,0,9,0,0,0,0,0,33,2007-01-01
36,Camarista Méier,2007,1,1,0,0,0,1,2,0,0,1,0,0,0,2,3,0,0,0,0,0,6,1,5,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,25,2007-01-01
37,Mangueirinha,2007,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,2,4,0,0,0,0,7,4,4,0,6,1,2,0,0,0,0,27,2007-01-01
38,Vila Kennedy,2007,1,0,0,0,1,2,9,0,0,7,1,0,4,1,1,1,0,0,2,0,13,1,20,0,0,0,0,4,12,4,0,4,7,1,0,0,0,0,77,2007-01-01
31,Barreira do Vasco / Tuiuti,2007,1,0,0,0,0,0,3,0,0,6,2,0,1,1,2,0,0,0,0,0,6,1,7,0,0,0,2,2,4,2,0,1,1,0,1,0,0,0,30,2007-01-01
20,Nova Brasília,2007,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2007-01-01
28,Rocinha,2007,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,11,2007-01-01
18,Macacos,2007,1,2,0,0,0,0,1,0,0,0,0,0,5,2,8,0,0,0,1,0,30,1,5,0,0,0,0,2,6,1,0,1,2,1,0,0,0,0,51,2007-01-01
19,Vidigal,2007,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,6,2007-01-01
3,Batam,2007,1,0,0,0,0,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,7,0,5,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,19,2007-01-01
4,Chapéu Mangueira / Babilônia,2007,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,0,1,0,0,0,0,0,9,2007-01-01
5,Pavão-Pavãozinho,2007,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,12,2007-01-01
6,Tabajaras,2007,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,2007-01-01
7,Providência,2007,1,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,2,2,2,5,0,0,8,0,0,0,0,0,31,2007-01-01
8,Borel,2007,1,1,0,0,0,0,2,0,0,1,0,0,2,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,17,2007-01-01
9,Formiga,2007,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,2007-01-01
2,Cidade de Deus,2007,1,3,0,0,0,1,18,1,0,1,0,0,5,0,3,9,0,0,3,0,25,1,8,0,0,0,3,15,11,7,2,11,7,2,0,0,0,0,98,2007-01-01
11,Salgueiro,2007,1,0,0,0,0,0,7,0,0,0,1,1,4,0,6,0,0,0,1,0,14,5,14,0,0,0,3,0,0,0,0,1,8,1,0,0,0,0,42,2007-01-01
12,Turano,2007,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,20,2007-01-01
13,São João / Matriz / Queto,2007,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,7,2007-01-01
14,Coroa / Fallet / Fogueteiro,2007,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,1,1,0,5,0,0,1,0,0,0,0,0,15,2007-01-01
15,Escondidinho / Prazeres,2007,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,8,2007-01-01
16,São Carlos,2007,1,0,0,0,0,0,13,0,0,2,1,0,0,1,1,0,0,0,0,0,3,0,2,0,0,0,1,0,0,6,0,0,7,1,0,0,0,0,36,2007-01-01
17,Mangueira,2007,1,1,0,0,0,0,5,0,0,1,0,0,1,0,2,0,0,0,0,0,4,0,5,0,0,0,1,1,1,5,0,0,5,0,0,0,0,0,31,2007-01-01
10,Andaraí,2007,1,0,0,0,3,0,1,0,0,0,0,0,7,2,2,0,0,0,0,0,13,2,4,0,0,0,1,1,4,2,0,1,4,0,0,0,0,0,32,2007-01-01
22,Adeus / Baiana,2007,2,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,4,2,3,0,0,0,1,0,1,2,0,1,5,0,1,0,0,0,20,2007-02-01
23,Alemão,2007,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,5,2007-02-01
24,Chatuba,2007,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,9,2007-02-01
25,Fé / Sereno,2007,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2007-02-01
26,Parque Proletário,2007,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2007-02-01
27,Vila Cruzeiro,2007,2,0,0,0,6,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,4,1,0,0,3,1,0,0,0,0,19,2007-02-01
28,Rocinha,2007,2,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,2,0,0,2,1,0,0,0,0,12,2007-02-01
30,Manguinhos,2007,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,12,2007-02-01
34,Arará / Mandela,2007,2,1,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,8,2007-02-01
32,Caju,2007,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,2007-02-01
33,Cerro-Corá,2007,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2007-02-01
35,Lins,2007,2,0,0,0,0,0,2,0,0,1,0,0,2,1,0,1,0,0,0,0,5,0,1,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,19,2007-02-01
36,Camarista Méier,2007,2,2,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,4,1,6,0,0,0,2,1,0,2,0,1,1,0,0,0,0,0,22,2007-02-01
37,Mangueirinha,2007,2,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,14,2007-02-01
38,Vila Kennedy,2007,2,1,0,0,0,1,9,0,1,3,0,0,10,1,4,0,0,0,1,0,16,1,17,0,0,0,1,2,12,2,2,0,8,0,0,0,0,0,76,2007-02-01
21,Fazendinha,2007,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,2007-02-01
31,Barreira do Vasco / Tuiuti,2007,2,0,0,0,0,0,7,0,0,0,4,1,5,1,5,1,0,0,1,0,20,0,6,0,0,0,0,0,0,2,0,1,10,1,0,0,0,0,40,2007-02-01
20,Nova Brasília,2007,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2007-02-01
29,Jacarezinho,2007,2,0,0,0,0,0,4,0,0,0,0,0,1,4,6,0,0,0,1,0,14,1,7,0,0,0,2,3,4,10,0,1,3,0,0,0,0,0,43,2007-02-01
18,Macacos,2007,2,0,0,0,0,0,0,0,0,6,0,0,8,0,9,0,0,0,3,0,33,0,4,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,53,2007-02-01
2,Cidade de Deus,2007,2,1,0,0,1,4,10,0,0,5,1,0,6,0,0,8,0,0,3,1,21,0,5,0,0,0,0,8,14,6,0,9,9,3,0,0,0,0,89,2007-02-01
3,Batam,2007,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,2007-02-01
4,Chapéu Mangueira / Babilônia,2007,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2007-02-01
5,Pavão-Pavãozinho,2007,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2007-02-01
6,Tabajaras,2007,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,2,0,0,0,0,0,11,2007-02-01
7,Providência,2007,2,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,1,1,0,1,0,1,9,0,0,0,0,0,23,2007-02-01
8,Borel,2007,2,0,0,0,0,1,4,0,0,2,0,1,5,1,2,0,0,0,0,0,13,1,3,0,0,0,0,2,7,1,0,1,0,1,1,0,0,0,37,2007-02-01
9,Formiga,2007,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,5,2007-02-01
1,Santa Marta,2007,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,2007-02-01
10,Andaraí,2007,2,1,0,0,1,0,0,0,1,3,0,1,4,2,1,0,0,0,1,0,9,0,2,0,0,0,0,1,5,1,0,1,1,0,0,0,0,0,25,2007-02-01
17,Mangueira,2007,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,4,0,0,0,0,2,1,4,2,2,4,0,0,0,0,0,19,2007-02-01
16,São Carlos,2007,2,1,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,2007-02-01
15,Escondidinho / Prazeres,2007,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,10,2007-02-01
19,Vidigal,2007,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,7,2007-02-01
13,São João / Matriz / Queto,2007,2,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,12,2007-02-01
12,Turano,2007,2,0,0,0,0,2,2,0,0,0,1,0,1,0,5,0,0,0,0,0,7,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,16,2007-02-01
11,Salgueiro,2007,2,0,0,0,0,0,1,0,0,1,0,1,4,0,6,0,0,0,0,0,14,4,8,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,40,2007-02-01
14,Coroa / Fallet / Fogueteiro,2007,2,0,0,0,0,0,1,0,0,4,0,1,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1,0,2,0,0,4,0,0,0,0,0,13,2007-02-01
21,Fazendinha,2007,3,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,5,2007-03-01
22,Adeus / Baiana,2007,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5,2,2,0,0,0,0,3,2,0,0,2,1,0,0,0,0,0,19,2007-03-01
23,Alemão,2007,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,5,2007-03-01
24,Chatuba,2007,3,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2007-03-01
25,Fé / Sereno,2007,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,2007-03-01
26,Parque Proletário,2007,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,5,2007-03-01
27,Vila Cruzeiro,2007,3,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,17,2007-03-01
28,Rocinha,2007,3,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,6,1,6,0,0,0,0,0,24,2007-03-01
30,Manguinhos,2007,3,0,1,0,0,0,9,0,0,0,0,0,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,16,2007-03-01
31,Barreira do Vasco / Tuiuti,2007,3,0,0,0,0,0,3,2,0,2,0,0,6,2,4,0,0,0,0,0,14,0,6,0,0,0,1,0,6,1,1,0,2,0,0,0,0,0,39,2007-03-01
32,Caju,2007,3,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,2,3,0,3,2,2,0,0,0,0,21,2007-03-01
38,Vila Kennedy,2007,3,0,0,0,2,4,14,0,0,3,0,0,4,0,5,1,0,0,1,0,13,1,7,0,0,0,3,12,12,8,0,7,7,0,0,0,0,0,85,2007-03-01
34,Arará / Mandela,2007,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2007-03-01
35,Lins,2007,3,0,0,0,1,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,1,0,0,0,1,0,4,1,0,0,6,0,1,0,0,0,25,2007-03-01
36,Camarista Méier,2007,3,0,0,0,0,0,5,0,0,0,0,0,2,1,4,0,0,0,0,0,8,0,3,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,21,2007-03-01
37,Mangueirinha,2007,3,0,0,0,0,0,4,0,0,1,1,0,0,0,3,0,0,0,0,0,6,0,1,0,0,0,0,2,1,0,0,0,4,0,1,0,0,0,25,2007-03-01
20,Nova Brasília,2007,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2007-03-01
29,Jacarezinho,2007,3,0,0,0,1,0,0,0,1,1,0,0,2,6,7,0,0,0,1,0,20,1,5,0,0,0,2,4,2,15,1,3,5,0,0,0,0,0,55,2007-03-01
33,Cerro-Corá,2007,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,7,2007-03-01
19,Vidigal,2007,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,5,2007-03-01
17,Mangueira,2007,3,0,0,0,2,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,3,0,0,0,0,3,0,2,1,0,4,0,0,0,0,0,16,2007-03-01
18,Macacos,2007,3,4,0,0,4,1,0,0,0,0,0,0,4,1,5,0,0,0,1,0,11,2,3,0,0,0,1,2,2,3,0,1,4,0,1,0,0,0,24,2007-03-01
1,Santa Marta,2007,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,2007-03-01
2,Cidade de Deus,2007,3,3,0,0,0,3,13,0,3,7,1,0,9,1,2,19,0,0,8,0,44,1,12,0,0,0,2,4,16,6,0,6,7,1,0,0,0,0,124,2007-03-01
3,Batam,2007,3,0,0,0,0,0,5,1,0,1,0,0,1,0,0,1,0,0,0,0,2,0,6,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,22,2007-03-01
4,Chapéu Mangueira / Babilônia,2007,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2007-03-01
6,Tabajaras,2007,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,10,2007-03-01
7,Providência,2007,3,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,4,0,0,0,1,6,1,3,0,1,8,0,1,0,0,0,41,2007-03-01
8,Borel,2007,3,1,0,0,0,1,3,0,0,3,0,0,2,0,1,0,0,0,0,0,10,2,4,0,1,0,0,3,3,5,0,3,0,0,0,0,0,0,34,2007-03-01
5,Pavão-Pavãozinho,2007,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,9,2007-03-01
10,Andaraí,2007,3,1,0,0,0,0,1,0,0,0,0,0,4,7,3,0,0,0,0,0,15,0,1,0,0,0,2,1,5,0,6,1,2,0,0,0,0,0,36,2007-03-01
11,Salgueiro,2007,3,0,0,0,0,0,8,0,0,0,0,0,7,0,8,0,0,0,0,0,17,6,6,0,0,0,1,0,1,3,0,0,1,1,0,0,0,0,42,2007-03-01
12,Turano,2007,3,2,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,1,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,2007-03-01
13,São João / Matriz / Queto,2007,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,8,2007-03-01
14,Coroa / Fallet / Fogueteiro,2007,3,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,12,2007-03-01
15,Escondidinho / Prazeres,2007,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,6,0,0,0,0,0,17,2007-03-01
16,São Carlos,2007,3,0,0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,2,2,0,0,1,0,0,0,0,0,23,2007-03-01
9,Formiga,2007,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,4,2007-03-01
28,Rocinha,2007,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,1,0,2,0,0,4,0,0,0,0,0,14,2007-04-01
22,Adeus / Baiana,2007,4,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,0,1,0,1,0,2,0,0,0,1,1,0,0,0,0,11,2007-04-01
23,Alemão,2007,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-04-01
24,Chatuba,2007,4,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,2,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2007-04-01
25,Fé / Sereno,2007,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2007-04-01
26,Parque Proletário,2007,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-04-01
27,Vila Cruzeiro,2007,4,0,0,0,0,1,4,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,1,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,14,2007-04-01
29,Jacarezinho,2007,4,3,0,0,0,1,2,2,0,2,1,0,1,0,6,0,0,0,0,1,11,1,4,0,0,0,0,5,8,1,0,3,7,2,0,0,0,0,48,2007-04-01
38,Vila Kennedy,2007,4,0,1,0,2,1,13,0,0,4,0,0,3,0,12,1,0,0,2,0,20,0,5,0,0,0,0,2,15,3,1,5,10,0,0,0,0,0,82,2007-04-01
31,Barreira do Vasco / Tuiuti,2007,4,0,0,0,1,1,3,0,0,5,0,0,0,1,6,0,0,0,2,0,12,1,6,0,0,0,0,2,5,2,0,0,2,1,0,0,0,0,41,2007-04-01
32,Caju,2007,4,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0,0,0,13,2007-04-01
33,Cerro-Corá,2007,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2007-04-01
34,Arará / Mandela,2007,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-04-01
35,Lins,2007,4,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,1,0,4,0,5,0,0,0,1,1,3,0,0,1,2,3,0,0,0,0,31,2007-04-01
36,Camarista Méier,2007,4,0,0,0,0,0,1,0,0,0,1,0,3,0,3,0,0,0,1,0,9,0,2,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,18,2007-04-01
37,Mangueirinha,2007,4,0,0,0,0,0,6,0,1,1,0,0,3,0,4,0,0,0,1,0,8,0,0,0,0,0,0,1,2,3,0,1,1,1,0,0,0,0,27,2007-04-01
21,Fazendinha,2007,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2007-04-01
30,Manguinhos,2007,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,3,4,0,0,0,0,0,13,2007-04-01
20,Nova Brasília,2007,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2007-04-01
9,Formiga,2007,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2007-04-01
18,Macacos,2007,4,1,0,0,2,0,4,0,0,2,0,0,6,0,7,0,0,0,0,0,21,3,6,0,0,0,1,1,3,3,0,0,4,0,0,0,0,0,47,2007-04-01
2,Cidade de Deus,2007,4,8,0,0,2,0,12,0,0,4,0,1,10,0,4,13,0,0,2,0,33,3,11,0,0,0,1,5,8,5,1,6,4,2,0,0,0,0,91,2007-04-01
3,Batam,2007,4,1,0,0,0,1,0,0,1,7,0,0,0,0,2,0,0,0,0,0,3,0,3,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,18,2007-04-01
4,Chapéu Mangueira / Babilônia,2007,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2007-04-01
5,Pavão-Pavãozinho,2007,4,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,3,0,2,1,1,2,0,0,0,0,0,17,2007-04-01
